   Teff,Logg,      U,      B,      V,      R,      I,      J,      H,      K,  J-H,  J-K,  H-K
3900,2.5,-32.726,-34.492,-35.662,-36.403,-37.301,-38.376,-39.213,-39.399,0.838,1.023,0.186
3900,3,-32.874,-34.532,-35.675,-36.42,-37.319,-38.387,-39.229,-39.406,0.842,1.019,0.177
3900,3.5,-32.965,-34.547,-35.656,-36.408,-37.335,-38.401,-39.234,-39.405,0.832,1.003,0.171
3900,4,-33.052,-34.558,-35.666,-36.434,-37.366,-38.415,-39.203,-39.375,0.788,0.96,0.173
3900,4.5,-33.185,-34.588,-35.716,-36.498,-37.413,-38.425,-39.135,-39.323,0.71,0.898,0.188
3900,5,-33.275,-34.62,-35.782,-36.574,-37.452,-38.429,-39.064,-39.271,0.635,0.842,0.207
3900,5.5,-33.312,-34.626,-35.82,-36.62,-37.472,-38.427,-39.019,-39.236,0.592,0.809,0.217
4000,2.5,-33.059,-34.761,-35.946,-36.669,-37.44,-38.459,-39.259,-39.436,0.801,0.977,0.176
4000,3,-33.19,-34.797,-35.952,-36.675,-37.455,-38.468,-39.276,-39.445,0.808,0.977,0.169
4000,3.5,-33.26,-34.809,-35.934,-36.658,-37.468,-38.479,-39.284,-39.448,0.805,0.969,0.164
4000,4,-33.309,-34.813,-35.925,-36.658,-37.49,-38.492,-39.273,-39.436,0.781,0.943,0.162
4000,4.5,-33.409,-34.825,-35.946,-36.695,-37.531,-38.504,-39.221,-39.394,0.717,0.89,0.173
4000,5,-33.517,-34.857,-36.015,-36.778,-37.574,-38.509,-39.156,-39.347,0.647,0.838,0.191
4000,5.5,-33.618,-34.859,-36.043,-36.821,-37.592,-38.494,-39.064,-39.279,0.569,0.785,0.215
4100,2.5,-33.419,-35.017,-36.196,-36.908,-37.574,-38.542,-39.303,-39.47,0.761,0.928,0.166
4100,3,-33.547,-35.001,-36.144,-36.91,-37.595,-38.557,-39.322,-39.482,0.766,0.926,0.16
4100,3.5,-33.59,-34.999,-36.124,-36.899,-37.604,-38.563,-39.334,-39.489,0.77,0.926,0.155
4100,4,-33.614,-34.994,-36.103,-36.888,-37.622,-38.576,-39.335,-39.489,0.759,0.913,0.153
4100,4.5,-33.67,-34.996,-36.105,-36.904,-37.658,-38.59,-39.306,-39.464,0.715,0.874,0.159
4100,5,-33.76,-35.001,-36.141,-36.955,-37.689,-38.589,-39.239,-39.415,0.65,0.826,0.176
4100,5.5,-33.812,-35.005,-36.158,-36.983,-37.714,-38.592,-39.191,-39.38,0.598,0.788,0.19
4200,2.5,-33.784,-35.258,-36.41,-37.102,-37.701,-38.624,-39.345,-39.502,0.722,0.879,0.157
4200,3,-33.886,-35.248,-36.365,-37.101,-37.72,-38.636,-39.363,-39.515,0.727,0.879,0.152
4200,3.5,-33.936,-35.25,-36.356,-37.103,-37.729,-38.641,-39.374,-39.522,0.734,0.881,0.147
4200,4,-33.922,-35.238,-36.33,-37.086,-37.741,-38.651,-39.383,-39.528,0.732,0.877,0.145
4200,4.5,-33.93,-35.226,-36.32,-37.091,-37.766,-38.662,-39.368,-39.516,0.706,0.854,0.148
4200,5,-33.997,-35.225,-36.337,-37.123,-37.799,-38.667,-39.321,-39.481,0.654,0.814,0.159
4200,5.5,-34.059,-35.227,-36.353,-37.149,-37.825,-38.67,-39.273,-39.447,0.603,0.776,0.173
4300,2.5,-34.135,-35.488,-36.602,-37.267,-37.825,-38.704,-39.387,-39.535,0.682,0.83,0.148
4300,3,-34.222,-35.484,-36.566,-37.27,-37.84,-38.714,-39.403,-39.547,0.689,0.833,0.144
4300,3.5,-34.283,-35.491,-36.563,-37.277,-37.849,-38.718,-39.414,-39.554,0.696,0.836,0.14
4300,4,-34.247,-35.474,-36.539,-37.266,-37.857,-38.725,-39.424,-39.562,0.699,0.837,0.138
4300,4.5,-34.226,-35.457,-36.525,-37.265,-37.874,-38.734,-39.422,-39.56,0.688,0.827,0.138
4300,5,-34.252,-35.451,-36.53,-37.285,-37.906,-38.744,-39.394,-39.539,0.649,0.795,0.145
4300,5.5,-34.296,-35.437,-36.532,-37.301,-37.929,-38.744,-39.343,-39.503,0.599,0.759,0.159
4400,2.5,-34.434,-35.695,-36.772,-37.409,-37.94,-38.78,-39.426,-39.567,0.646,0.786,0.141
4400,3,-34.547,-35.706,-36.751,-37.42,-37.955,-38.789,-39.442,-39.578,0.653,0.789,0.136
4400,3.5,-34.583,-35.712,-36.745,-37.425,-37.963,-38.794,-39.455,-39.587,0.661,0.793,0.132
4400,4,-34.573,-35.701,-36.731,-37.424,-37.971,-38.798,-39.462,-39.593,0.664,0.795,0.131
4400,4.5,-34.534,-35.682,-36.714,-37.423,-37.981,-38.805,-39.468,-39.598,0.663,0.793,0.13
4400,5,-34.515,-35.664,-36.708,-37.433,-38.007,-38.815,-39.451,-39.586,0.636,0.771,0.135
4400,5.5,-34.537,-35.643,-36.704,-37.444,-38.03,-38.815,-39.409,-39.555,0.594,0.74,0.146
4500,2.5,-34.775,-35.908,-36.944,-37.553,-38.058,-38.857,-39.464,-39.598,0.608,0.741,0.133
4500,3,-34.86,-35.916,-36.924,-37.558,-38.065,-38.861,-39.479,-39.608,0.617,0.747,0.129
4500,3.5,-34.895,-35.921,-36.916,-37.561,-38.07,-38.863,-39.49,-39.616,0.627,0.752,0.126
4500,4,-34.891,-35.919,-36.91,-37.568,-38.081,-38.87,-39.5,-39.624,0.63,0.754,0.124
4500,4.5,-34.845,-35.898,-36.893,-37.568,-38.089,-38.875,-39.506,-39.629,0.631,0.755,0.123
4500,5,-34.8,-35.874,-36.88,-37.573,-38.104,-38.882,-39.501,-39.627,0.62,0.745,0.126
4500,5.5,-34.795,-35.862,-36.881,-37.59,-38.134,-38.891,-39.477,-39.61,0.586,0.719,0.133
4600,2.5,-35.081,-36.099,-37.097,-37.68,-38.164,-38.925,-39.499,-39.627,0.574,0.702,0.127
4600,3,-35.157,-36.115,-37.086,-37.688,-38.172,-38.93,-39.514,-39.637,0.583,0.707,0.123
4600,3.5,-35.191,-36.118,-37.077,-37.689,-38.174,-38.931,-39.524,-39.644,0.593,0.713,0.12
4600,4,-35.19,-36.122,-37.075,-37.699,-38.186,-38.939,-39.536,-39.654,0.597,0.715,0.118
4600,4.5,-35.142,-36.104,-37.059,-37.7,-38.192,-38.943,-39.543,-39.66,0.601,0.717,0.116
4600,5,-35.085,-36.081,-37.046,-37.705,-38.204,-38.949,-39.545,-39.663,0.595,0.714,0.118
4600,5.5,-35.047,-36.058,-37.038,-37.717,-38.226,-38.957,-39.53,-39.653,0.573,0.695,0.123
4700,2.5,-35.364,-36.278,-37.24,-37.799,-38.264,-38.99,-39.534,-39.655,0.544,0.665,0.121
4700,3,-35.439,-36.301,-37.238,-37.81,-38.273,-38.996,-39.548,-39.665,0.552,0.669,0.117
4700,3.5,-35.478,-36.309,-37.232,-37.812,-38.276,-38.997,-39.557,-39.672,0.56,0.675,0.115
4700,4,-35.472,-36.313,-37.23,-37.822,-38.287,-39.004,-39.569,-39.682,0.565,0.678,0.113
4700,4.5,-35.431,-36.299,-37.218,-37.826,-38.294,-39.009,-39.576,-39.688,0.568,0.679,0.112
4700,5,-35.367,-36.278,-37.204,-37.83,-38.302,-39.014,-39.581,-39.693,0.567,0.679,0.112
4700,5.5,-35.307,-36.251,-37.191,-37.837,-38.317,-39.021,-39.575,-39.69,0.555,0.67,0.115
4800,2.5,-35.643,-36.453,-37.379,-37.916,-38.363,-39.054,-39.568,-39.683,0.514,0.63,0.115
4800,3,-35.711,-36.479,-37.382,-37.927,-38.372,-39.06,-39.581,-39.694,0.521,0.634,0.112
4800,3.5,-35.741,-36.483,-37.373,-37.925,-38.371,-39.059,-39.59,-39.699,0.531,0.64,0.109
4800,4,-35.735,-36.489,-37.373,-37.936,-38.382,-39.066,-39.601,-39.709,0.535,0.643,0.108
4800,4.5,-35.703,-36.482,-37.366,-37.943,-38.39,-39.071,-39.608,-39.715,0.537,0.644,0.107
4800,5,-35.639,-36.464,-37.353,-37.947,-38.397,-39.076,-39.615,-39.722,0.538,0.645,0.107
4800,5.5,-35.575,-36.447,-37.345,-37.958,-38.411,-39.086,-39.621,-39.728,0.535,0.642,0.107
4900,2.5,-35.908,-36.623,-37.512,-38.028,-38.458,-39.115,-39.601,-39.711,0.486,0.596,0.11
4900,3,-35.967,-36.646,-37.516,-38.037,-38.466,-39.12,-39.613,-39.721,0.493,0.601,0.107
4900,3.5,-35.999,-36.657,-37.516,-38.041,-38.469,-39.123,-39.623,-39.728,0.5,0.606,0.105
4900,4,-35.994,-36.661,-37.513,-38.048,-38.476,-39.127,-39.633,-39.736,0.506,0.609,0.103
4900,4.5,-35.955,-36.652,-37.503,-38.051,-38.48,-39.13,-39.64,-39.742,0.51,0.612,0.102
4900,5,-35.898,-36.639,-37.494,-38.058,-38.488,-39.136,-39.646,-39.748,0.51,0.612,0.102
4900,5.5,-35.822,-36.616,-37.48,-38.064,-38.497,-39.142,-39.651,-39.754,0.509,0.612,0.103
5000,2.5,-36.153,-36.773,-37.627,-38.124,-38.539,-39.163,-39.625,-39.73,0.461,0.566,0.105
5000,3,-36.211,-36.805,-37.643,-38.142,-38.554,-39.178,-39.646,-39.748,0.468,0.57,0.102
5000,3.5,-36.24,-36.816,-37.643,-38.145,-38.557,-39.18,-39.654,-39.754,0.474,0.575,0.1
5000,4,-36.236,-36.821,-37.644,-38.153,-38.565,-39.185,-39.663,-39.762,0.478,0.577,0.099
5000,4.5,-36.202,-36.816,-37.637,-38.157,-38.569,-39.189,-39.671,-39.769,0.482,0.58,0.098
5000,5,-36.145,-36.803,-37.628,-38.164,-38.576,-39.193,-39.677,-39.775,0.483,0.581,0.098
5000,5.5,-36.072,-36.782,-37.614,-38.168,-38.583,-39.198,-39.681,-39.779,0.483,0.581,0.098
5100,2.5,-36.387,-36.929,-37.749,-38.226,-38.626,-39.219,-39.656,-39.756,0.436,0.536,0.1
5100,3,-36.44,-36.958,-37.764,-38.242,-38.64,-39.233,-39.676,-39.774,0.443,0.541,0.098
5100,3.5,-36.467,-36.967,-37.764,-38.244,-38.642,-39.235,-39.685,-39.781,0.45,0.546,0.096
5100,4,-36.469,-36.974,-37.767,-38.253,-38.65,-39.241,-39.693,-39.788,0.452,0.547,0.095
5100,4.5,-36.434,-36.968,-37.761,-38.257,-38.653,-39.243,-39.7,-39.794,0.457,0.551,0.094
5100,5,-36.382,-36.96,-37.755,-38.264,-38.661,-39.249,-39.707,-39.801,0.458,0.552,0.094
5100,5.5,-36.304,-36.943,-37.742,-38.269,-38.666,-39.253,-39.715,-39.808,0.462,0.554,0.092
5200,2.5,-36.6,-37.086,-37.872,-38.331,-38.717,-39.282,-39.695,-39.79,0.413,0.508,0.095
5200,3,-36.658,-37.106,-37.879,-38.338,-38.722,-39.286,-39.706,-39.799,0.419,0.513,0.094
5200,3.5,-36.682,-37.112,-37.879,-38.34,-38.723,-39.288,-39.715,-39.806,0.427,0.518,0.092
5200,4,-36.686,-37.118,-37.882,-38.348,-38.73,-39.293,-39.723,-39.813,0.429,0.52,0.091
5200,4.5,-36.655,-37.115,-37.879,-38.352,-38.734,-39.296,-39.73,-39.82,0.433,0.523,0.09
5200,5,-36.61,-37.109,-37.875,-38.36,-38.742,-39.302,-39.736,-39.826,0.434,0.524,0.09
5200,5.5,-36.54,-37.096,-37.867,-38.368,-38.749,-39.308,-39.743,-39.832,0.435,0.525,0.089
5300,2.5,-36.805,-37.231,-37.982,-38.423,-38.795,-39.332,-39.722,-39.814,0.39,0.482,0.091
5300,3,-36.863,-37.248,-37.989,-38.43,-38.8,-39.337,-39.734,-39.824,0.397,0.487,0.09
5300,3.5,-36.893,-37.254,-37.991,-38.433,-38.803,-39.34,-39.742,-39.831,0.403,0.491,0.088
5300,4,-36.896,-37.259,-37.994,-38.44,-38.809,-39.345,-39.752,-39.839,0.407,0.494,0.087
5300,4.5,-36.867,-37.254,-37.99,-38.443,-38.812,-39.347,-39.758,-39.844,0.411,0.497,0.086
5300,5,-36.822,-37.247,-37.987,-38.45,-38.819,-39.352,-39.763,-39.849,0.411,0.498,0.086
5300,5.5,-36.757,-37.239,-37.982,-38.459,-38.826,-39.358,-39.771,-39.857,0.413,0.499,0.086
5400,2.5,-36.995,-37.37,-38.087,-38.511,-38.87,-39.381,-39.75,-39.838,0.369,0.457,0.088
5400,3,-37.054,-37.385,-38.094,-38.517,-38.875,-39.386,-39.762,-39.848,0.376,0.462,0.086
5400,3.5,-37.085,-37.39,-38.096,-38.521,-38.878,-39.389,-39.771,-39.855,0.382,0.466,0.085
5400,4,-37.092,-37.393,-38.1,-38.527,-38.884,-39.394,-39.779,-39.863,0.386,0.469,0.084
5400,4.5,-37.067,-37.388,-38.097,-38.531,-38.886,-39.396,-39.786,-39.868,0.39,0.472,0.083
5400,5,-37.031,-37.383,-38.096,-38.539,-38.894,-39.401,-39.791,-39.873,0.389,0.472,0.083
5400,5.5,-36.973,-37.379,-38.094,-38.549,-38.903,-39.408,-39.8,-39.881,0.392,0.473,0.082
5500,2.5,-37.173,-37.505,-38.19,-38.596,-38.942,-39.428,-39.776,-39.861,0.348,0.433,0.085
5500,3,-37.232,-37.518,-38.196,-38.602,-38.947,-39.433,-39.788,-39.871,0.355,0.438,0.083
5500,3.5,-37.268,-37.523,-38.2,-38.607,-38.951,-39.437,-39.798,-39.88,0.361,0.443,0.081
5500,4,-37.276,-37.522,-38.2,-38.611,-38.955,-39.441,-39.806,-39.886,0.365,0.446,0.08
5500,4.5,-37.258,-37.517,-38.198,-38.614,-38.958,-39.443,-39.813,-39.892,0.37,0.448,0.079
5500,5,-37.231,-37.517,-38.202,-38.626,-38.968,-39.45,-39.82,-39.899,0.369,0.448,0.079
5500,5.5,-37.17,-37.506,-38.197,-38.632,-38.973,-39.455,-39.826,-39.904,0.371,0.45,0.079
5600,2.5,-37.333,-37.635,-38.289,-38.679,-39.011,-39.474,-39.802,-39.884,0.328,0.41,0.082
5600,3,-37.396,-37.646,-38.295,-38.685,-39.017,-39.48,-39.814,-39.895,0.334,0.415,0.081
5600,3.5,-37.43,-37.643,-38.293,-38.686,-39.019,-39.481,-39.823,-39.902,0.341,0.42,0.079
5600,4,-37.445,-37.645,-38.297,-38.692,-39.024,-39.486,-39.832,-39.91,0.346,0.423,0.077
5600,4.5,-37.432,-37.639,-38.295,-38.695,-39.027,-39.489,-39.839,-39.915,0.35,0.426,0.076
5600,5,-37.412,-37.639,-38.3,-38.707,-39.037,-39.496,-39.846,-39.922,0.35,0.426,0.076
5600,5.5,-37.358,-37.63,-38.297,-38.713,-39.043,-39.5,-39.852,-39.927,0.352,0.427,0.075
5700,2.5,-37.487,-37.762,-38.385,-38.76,-39.078,-39.518,-39.826,-39.906,0.308,0.388,0.08
5700,3,-37.549,-37.77,-38.39,-38.765,-39.084,-39.524,-39.839,-39.917,0.315,0.393,0.078
5700,3.5,-37.589,-37.767,-38.39,-38.767,-39.087,-39.527,-39.849,-39.926,0.322,0.398,0.077
5700,4,-37.608,-37.766,-38.392,-38.772,-39.092,-39.531,-39.858,-39.932,0.327,0.401,0.075
5700,4.5,-37.601,-37.759,-38.389,-38.774,-39.094,-39.533,-39.865,-39.937,0.331,0.404,0.073
5700,5,-37.586,-37.757,-38.394,-38.784,-39.104,-39.54,-39.872,-39.944,0.332,0.405,0.073
5700,5.5,-37.509,-37.72,-38.371,-38.775,-39.099,-39.534,-39.865,-39.941,0.331,0.407,0.076
5800,2.5,-37.624,-37.878,-38.471,-38.83,-39.136,-39.554,-39.843,-39.921,0.289,0.367,0.078
5800,3,-37.694,-37.891,-38.483,-38.843,-39.15,-39.567,-39.863,-39.939,0.295,0.372,0.076
5800,3.5,-37.735,-37.885,-38.48,-38.843,-39.152,-39.57,-39.873,-39.947,0.303,0.378,0.074
5800,4,-37.761,-37.883,-38.482,-38.848,-39.157,-39.574,-39.882,-39.954,0.308,0.38,0.072
5800,4.5,-37.759,-37.874,-38.479,-38.849,-39.158,-39.576,-39.889,-39.959,0.314,0.383,0.07
5800,5,-37.748,-37.871,-38.484,-38.859,-39.168,-39.582,-39.897,-39.967,0.315,0.385,0.07
5800,5.5,-37.712,-37.865,-38.484,-38.867,-39.175,-39.587,-39.903,-39.972,0.315,0.385,0.07
5900,2.5,-37.761,-38,-38.563,-38.907,-39.199,-39.596,-39.866,-39.943,0.27,0.347,0.077
5900,3,-37.831,-38.009,-38.573,-38.918,-39.212,-39.609,-39.886,-39.961,0.277,0.352,0.075
5900,3.5,-37.874,-38.001,-38.569,-38.918,-39.214,-39.611,-39.897,-39.969,0.286,0.358,0.072
5900,4,-37.904,-37.996,-38.57,-38.921,-39.219,-39.615,-39.906,-39.976,0.291,0.361,0.07
5900,4.5,-37.913,-37.987,-38.569,-38.925,-39.223,-39.619,-39.914,-39.982,0.295,0.364,0.068
5900,5,-37.904,-37.982,-38.57,-38.931,-39.23,-39.623,-39.921,-39.988,0.298,0.365,0.068
5900,5.5,-37.878,-37.978,-38.573,-38.941,-39.238,-39.629,-39.928,-39.995,0.299,0.366,0.066
6000,2.5,-37.912,-38.132,-38.657,-38.981,-39.258,-39.635,-39.891,-39.966,0.255,0.33,0.075
6000,3,-37.966,-38.125,-38.656,-38.985,-39.266,-39.643,-39.906,-39.979,0.263,0.336,0.073
6000,3.5,-38.02,-38.121,-38.659,-38.991,-39.274,-39.651,-39.92,-39.99,0.269,0.339,0.071
6000,4,-38.042,-38.106,-38.653,-38.99,-39.276,-39.653,-39.928,-39.996,0.275,0.343,0.068
6000,4.5,-38.055,-38.093,-38.65,-38.993,-39.282,-39.657,-39.935,-40.003,0.279,0.346,0.067
6000,5,-38.05,-38.085,-38.651,-38.998,-39.287,-39.661,-39.943,-40.008,0.282,0.348,0.066
6000,5.5,-38.029,-38.08,-38.653,-39.007,-39.295,-39.666,-39.95,-40.015,0.283,0.348,0.065
6100,2.5,-38.045,-38.252,-38.743,-39.052,-39.316,-39.674,-39.912,-39.985,0.238,0.311,0.073
6100,3,-38.09,-38.238,-38.741,-39.056,-39.324,-39.682,-39.928,-39.999,0.245,0.317,0.072
6100,3.5,-38.144,-38.232,-38.744,-39.062,-39.333,-39.69,-39.942,-40.011,0.252,0.321,0.069
6100,4,-38.173,-38.215,-38.735,-39.059,-39.335,-39.692,-39.95,-40.017,0.259,0.325,0.066
6100,4.5,-38.19,-38.198,-38.73,-39.06,-39.338,-39.694,-39.958,-40.023,0.264,0.328,0.065
6100,5,-38.192,-38.19,-38.732,-39.067,-39.346,-39.699,-39.965,-40.029,0.266,0.33,0.064
6100,5.5,-38.176,-38.182,-38.733,-39.073,-39.352,-39.704,-39.972,-40.035,0.268,0.331,0.063
6200,2.5,-38.159,-38.363,-38.826,-39.12,-39.371,-39.711,-39.932,-40.003,0.221,0.293,0.071
6200,3,-38.206,-38.347,-38.823,-39.124,-39.38,-39.72,-39.948,-40.018,0.229,0.299,0.07
6200,3.5,-38.251,-38.332,-38.82,-39.126,-39.386,-39.726,-39.963,-40.031,0.237,0.305,0.067
6200,4,-38.294,-38.319,-38.815,-39.126,-39.39,-39.729,-39.972,-40.037,0.243,0.308,0.065
6200,4.5,-38.317,-38.302,-38.811,-39.128,-39.395,-39.733,-39.981,-40.044,0.248,0.311,0.063
6200,5,-38.326,-38.29,-38.809,-39.132,-39.401,-39.736,-39.988,-40.049,0.252,0.313,0.061
6200,5.5,-38.315,-38.281,-38.809,-39.137,-39.407,-39.741,-39.994,-40.055,0.254,0.314,0.061
6300,2.5,-38.259,-38.467,-38.906,-39.186,-39.424,-39.746,-39.952,-40.022,0.206,0.276,0.07
6300,3,-38.315,-38.453,-38.904,-39.19,-39.434,-39.756,-39.968,-40.037,0.213,0.281,0.069
6300,3.5,-38.364,-38.435,-38.897,-39.19,-39.438,-39.761,-39.983,-40.049,0.222,0.288,0.066
6300,4,-38.407,-38.42,-38.893,-39.191,-39.444,-39.765,-39.994,-40.057,0.228,0.291,0.063
6300,4.5,-38.436,-38.4,-38.886,-39.191,-39.448,-39.768,-40.002,-40.063,0.234,0.295,0.061
6300,5,-38.451,-38.389,-38.885,-39.195,-39.455,-39.772,-40.01,-40.07,0.238,0.297,0.059
6300,5.5,-38.446,-38.378,-38.885,-39.201,-39.461,-39.777,-40.017,-40.075,0.24,0.299,0.059
6400,2.5,-38.36,-38.571,-38.985,-39.251,-39.475,-39.781,-39.971,-40.04,0.191,0.26,0.069
6400,3,-38.417,-38.556,-38.983,-39.256,-39.486,-39.791,-39.989,-40.057,0.197,0.265,0.068
6400,3.5,-38.47,-38.538,-38.975,-39.254,-39.491,-39.796,-40.002,-40.067,0.206,0.271,0.065
6400,4,-38.513,-38.519,-38.968,-39.253,-39.496,-39.8,-40.014,-40.076,0.214,0.276,0.062
6400,4.5,-38.547,-38.499,-38.963,-39.255,-39.501,-39.804,-40.024,-40.084,0.22,0.279,0.06
6400,5,-38.567,-38.484,-38.959,-39.257,-39.507,-39.807,-40.032,-40.089,0.224,0.282,0.058
6400,5.5,-38.571,-38.473,-38.958,-39.262,-39.513,-39.811,-40.039,-40.095,0.228,0.284,0.056
6500,2.5,-38.458,-38.678,-39.065,-39.315,-39.525,-39.814,-39.988,-40.057,0.174,0.243,0.069
6500,3,-38.512,-38.656,-39.058,-39.317,-39.535,-39.825,-40.007,-40.074,0.182,0.249,0.067
6500,3.5,-38.561,-38.633,-39.048,-39.314,-39.54,-39.829,-40.021,-40.085,0.191,0.256,0.064
6500,4,-38.613,-38.615,-39.042,-39.315,-39.546,-39.835,-40.034,-40.095,0.199,0.26,0.061
6500,4.5,-38.655,-38.592,-39.033,-39.314,-39.551,-39.837,-40.043,-40.102,0.206,0.264,0.058
6500,5,-38.678,-38.576,-39.03,-39.316,-39.556,-39.841,-40.053,-40.108,0.212,0.267,0.056
6500,5.5,-38.689,-38.564,-39.029,-39.321,-39.563,-39.845,-40.061,-40.115,0.216,0.269,0.054
6600,2.5,-38.529,-38.765,-39.137,-39.374,-39.571,-39.847,-40.011,-40.079,0.165,0.232,0.068
6600,3,-38.604,-38.754,-39.133,-39.378,-39.583,-39.857,-40.026,-40.091,0.169,0.234,0.066
6600,3.5,-38.66,-38.733,-39.124,-39.377,-39.59,-39.863,-40.039,-40.103,0.176,0.24,0.064
6600,4,-38.71,-38.71,-39.115,-39.375,-39.595,-39.868,-40.053,-40.113,0.185,0.245,0.06
6600,4.5,-38.754,-38.684,-39.104,-39.373,-39.6,-39.871,-40.063,-40.12,0.192,0.249,0.057
6600,5,-38.783,-38.665,-39.099,-39.374,-39.605,-39.874,-40.073,-40.127,0.199,0.253,0.054
6600,5.5,-38.8,-38.652,-39.098,-39.378,-39.612,-39.878,-40.082,-40.134,0.204,0.256,0.052
6700,2.5,-38.59,-38.853,-39.212,-39.438,-39.622,-39.882,-40.035,-40.102,0.153,0.219,0.067
6700,3,-38.693,-38.85,-39.206,-39.437,-39.629,-39.889,-40.043,-40.108,0.155,0.22,0.065
6700,3.5,-38.749,-38.823,-39.196,-39.437,-39.639,-39.896,-40.057,-40.121,0.161,0.225,0.064
6700,4,-38.797,-38.799,-39.185,-39.433,-39.642,-39.9,-40.072,-40.131,0.172,0.231,0.059
6700,4.5,-38.844,-38.774,-39.173,-39.43,-39.646,-39.902,-40.081,-40.137,0.18,0.235,0.056
6700,5,-38.88,-38.752,-39.167,-39.431,-39.652,-39.906,-40.093,-40.146,0.187,0.24,0.053
6700,5.5,-38.904,-38.738,-39.164,-39.434,-39.659,-39.91,-40.102,-40.152,0.192,0.242,0.05
6800,2.5,-38.659,-38.939,-39.286,-39.503,-39.673,-39.918,-40.058,-40.123,0.14,0.205,0.065
6800,3,-38.78,-38.946,-39.278,-39.494,-39.673,-39.918,-40.06,-40.124,0.141,0.205,0.064
6800,3.5,-38.833,-38.917,-39.268,-39.496,-39.685,-39.928,-40.075,-40.138,0.148,0.21,0.063
6800,4,-38.883,-38.888,-39.255,-39.491,-39.688,-39.931,-40.09,-40.148,0.158,0.217,0.059
6800,4.5,-38.931,-38.862,-39.243,-39.486,-39.692,-39.933,-40.101,-40.155,0.167,0.222,0.054
6800,5,-38.974,-38.837,-39.233,-39.486,-39.699,-39.937,-40.111,-40.163,0.174,0.226,0.052
6800,5.5,-39.001,-38.82,-39.229,-39.488,-39.704,-39.941,-40.122,-40.171,0.181,0.23,0.049
6900,2.5,-38.79,-39.052,-39.354,-39.551,-39.709,-39.94,-40.066,-40.129,0.125,0.189,0.064
6900,3,-38.863,-39.036,-39.347,-39.549,-39.715,-39.947,-40.077,-40.142,0.13,0.195,0.064
6900,3.5,-38.913,-39.008,-39.338,-39.552,-39.728,-39.958,-40.093,-40.154,0.135,0.197,0.062
6900,4,-38.967,-38.976,-39.324,-39.547,-39.734,-39.962,-40.107,-40.165,0.145,0.203,0.058
6900,4.5,-39.013,-38.946,-39.309,-39.541,-39.736,-39.963,-40.118,-40.172,0.154,0.208,0.054
6900,5,-39.06,-38.92,-39.298,-39.539,-39.742,-39.967,-40.13,-40.18,0.163,0.213,0.05
6900,5.5,-39.095,-38.9,-39.292,-39.541,-39.749,-39.971,-40.14,-40.188,0.169,0.217,0.048
7000,2.5,-38.88,-39.144,-39.421,-39.604,-39.75,-39.968,-40.081,-40.144,0.113,0.176,0.063
7000,3,-38.943,-39.124,-39.414,-39.602,-39.756,-39.975,-40.093,-40.157,0.118,0.182,0.064
7000,3.5,-38.989,-39.095,-39.405,-39.606,-39.769,-39.986,-40.109,-40.17,0.123,0.184,0.061
7000,4,-39.041,-39.064,-39.392,-39.603,-39.777,-39.991,-40.122,-40.18,0.131,0.189,0.058
7000,4.5,-39.093,-39.031,-39.376,-39.597,-39.781,-39.994,-40.135,-40.189,0.141,0.195,0.054
7000,5,-39.14,-39.001,-39.363,-39.593,-39.786,-39.997,-40.148,-40.197,0.151,0.2,0.049
7000,5.5,-39.182,-38.979,-39.354,-39.593,-39.792,-40,-40.159,-40.205,0.159,0.205,0.046
