AWI00062c5,J035509.92-533032.2
AWI00062cf,J040233.37-592314.4
AWI00060am,J050349.36-661555.9
AWI00061u1,J054747.19-602209.8
AWI0005ys4,J054906.19-224113.9
AWI0004nm2,J065432.00-142918.5
AWI00034xl,J071033.01-110451.6
AWI0003m4r,J071751.08-185258.1
AWI0002vgp,J072052.02-163830.7
AWI00042di,J072555.26-230756.3
AWI0003m5m,J072844.94-232411.8
AWI0005yvx,J073820.30-715950.9
AWI00063fr,J074239.68-470722.8
AWI0003m6g,J074403.32-282849.5
AWI0005zof,J074529.88-844943.7
AWI00042f6,J075558.35-345625.6
AWI0004epp,J075636.08-365515.5
AWI0004eps,J075734.00-364506.1
AWI0003m7c,J075734.25-335927.8
AWI0003m7s,J080336.85-354954.7
AWI00063i4,J080711.67-563655.5
AWI0002vht,J080900.83-344738.0
AWI0004eqt,J081004.32-411345.0
AWI00042gd,J081223.35-403953.2
AWI00042gj,J081348.95-412704.1
AWI0003m8g,J081439.66-390501.9
AWI0004ypb,J081908.53-355849.0
AWI00042h2,J081916.28-415216.4
AWI00042hc,J082106.14-430637.6
AWI0005nih,J082519.65-510658.4
AWI0002p5u,J082932.61-391458.6
AWI0002p5y,J083220.83-395745.9
AWI0000zvf,J083311.13-381314.6
AWI0002vir,J083401.27-421340.2
AWI00042j1,J083437.45-454029.4
AWI0003mb4,J083509.15-444206.8
AWI0000zvj,J083552.52-381727.7
AWI0003mbb,J083553.03-444116.2
AWI0002p6d,J083618.52-405244.9
AWI0004nxm,J083740.35-501015.6
AWI000350p,J084020.20-430211.4
AWI0001qwn,J084027.15-362813.2
AWI0004nxy,J084041.77-501607.4
AWI0001qwp,J084122.01-354514.4
AWI0004yr5,J084313.24-414235.4
AWI0004nyg,J084617.35-523513.7
AWI00042ka,J084620.61-480828.0
AWI000563i,J084814.40-195328.7
AWI00042kt,J084934.36-500534.8
AWI0004eup,J085145.42-505431.8
AWI0004euy,J085338.25-515141.7
AWI00042lw,J085815.07-510244.0
AWI0000xl8,J090040.50-452244.3
AWI0004o09,J090210.88-545153.2
AWI0000zyg,J090401.44-451148.6
AWI0003mgt,J090657.05-503855.8
AWI0002p97,J090757.87-474734.3
AWI0001a7j,J090844.61-441505.6
AWI0003mh8,J090906.85-505547.7
AWI0000xm0,J091310.94-471850.7
AWI00042nt,J091320.37-534840.0
AWI0002p9t,J091402.96-490557.2
AWI0000zz0,J091436.59-470818.4
AWI0001a84,J091510.75-445834.5
AWI0002pa1,J091541.09-491801.8
AWI0003d4i,J091624.84-513039.9
AWI00063m6,J091625.64-672835.5
AWI0004yuc,J091711.99-491122.6
AWI0002pab,J091902.42-494756.8
AWI0002pac,J091917.86-500448.1
AWI00063mg,J092008.20-695908.8
AWI00023tz,J092038.02-424827.5
AWI0000xmw,J092113.12-485908.1
AWI0001qyj,J092403.76-454138.2
AWI0001a8y,J092617.39-475033.2
AWI0001qyn,J092649.23-455446.4
AWI0005ajp,J092917.39-294141.3
AWI0005ef7,J093908.45-395006.4
AWI0003mkt,J094003.26-560338.4
AWI0002pbl,J094135.63-532616.6
AWI000356g,J094406.68-540022.3
AWI0002pbw,J094435.39-535025.3
AWI0005nqw,J094731.95-654852.2
AWI0003d75,J094926.59-561429.7
AWI000100s,J095106.20-520638.9
AWI00063o4,J095148.70-692019.4
AWI0004yx0,J095435.67-534855.7
AWI00042sh,J095435.88-581924.1
AWI0002pcz,J095453.69-545755.6
AWI0004yx6,J095548.30-540356.1
AWI0004o76,J100418.37-614420.8
AWI0005nsp,J100554.03-660933.2
AWI00042vf,J100634.09-594016.7
AWI00042vp,J100726.54-603713.0
AWI0003mqw,J100755.51-584630.7
AWI0005nsx,J100845.24-644606.5
AWI0003d9l,J101103.64-580944.8
AWI0003msg,J101109.85-583924.8
AWI00023vn,J101201.92-502020.8
AWI00042wc,J101206.21-602223.3
AWI00042ww,J101557.00-602343.8
AWI00042xe,J101736.40-603502.2
AWI0001r0c,J101751.54-525952.3
AWI0000xqm,J101931.41-555401.9
AWI0004f3b,J102341.90-624800.6
AWI0005yxk,J102527.49-844447.8
AWI000103a,J102539.69-560751.4
AWI0003dc8,J102610.80-592743.6
AWI0003dcp,J102804.67-595218.1
AWI0004f4h,J103157.79-624549.4
AWI0004f4z,J103504.84-635616.7
AWI00001q1,J103639.06-135520.7
AWI000434j,J104450.30-625348.3
AWI0003n8o,J105811.44-623037.6
AWI0002pji,J110021.37-601814.9
AWI0004f9r,J110535.54-652332.3
AWI0005nx7,J111010.54-685429.2
AWI0003dkn,J111101.41-623706.3
AWI000439s,J111435.03-640119.9
AWI0004far,J111658.64-650856.5
AWI00043b3,J111906.54-644535.8
AWI0004fb2,J111933.81-651910.1
AWI0001r60,J112232.64-574342.4
AWI0005nxz,J112330.09-704137.0
AWI0003njd,J112417.11-633310.0
AWI0003nl9,J112825.00-641714.2
AWI0005dni,J112841.10-171005.1
AWI0003nlo,J112953.39-642013.3
AWI0000y4q,J113137.77-603120.2
AWI0005alj,J113201.95-442301.0
AWI0005el4,J113224.67-533047.5
AWI0003nmh,J113409.28-640019.8
AWI0005elg,J113411.99-534244.5
AWI0005eli,J113426.92-535218.5
AWI000569k,J113453.81-484512.4
AWI0004zen,J113459.40-610946.1
AWI00043fh,J113637.00-654153.9
AWI00043fl,J113712.71-653316.3
AWI0004oi0,J113733.80-683340.6
AWI0003np1,J114158.37-640248.0
AWI00010hx,J114204.03-601905.7
AWI0003npp,J114405.20-645642.2
AWI0003nq0,J114447.45-641921.2
AWI0003nr9,J114805.48-642818.1
AWI0003nrj,J114853.41-644008.6
AWI0002438,J114917.72-571338.2
AWI0004zir,J115101.63-614214.6
AWI0001asq,J115214.70-592011.0
AWI0004fen,J115256.67-661326.2
AWI00043ie,J115257.04-653907.7
AWI00056as,J115355.13-512041.0
AWI00056av,J115412.34-492616.4
AWI0005enp,J115903.46-523505.6
AWI00043jv,J120022.36-654228.4
AWI00043k4,J120125.96-660022.3
AWI0005enz,J120431.94-541647.9
AWI00056bz,J120646.86-501926.2
AWI0001aw6,J120819.15-601903.3
AWI0005o2d,J120910.62-714057.2
AWI0003ny0,J120939.79-644932.2
AWI0002drm,J121120.78-565623.7
AWI0003nzb,J121339.91-644051.8
AWI0003nzg,J121357.59-644818.2
AWI00043mb,J121400.71-655645.5
AWI0001axq,J121455.19-602958.3
AWI0003dy6,J121546.34-641856.7
AWI0003dy9,J121551.56-641136.0
AWI0003o0n,J121732.88-643821.7
AWI0003dz0,J121850.25-641243.1
AWI0003o1n,J122014.00-644122.4
AWI0005o3c,J122109.42-720129.5
AWI0005epy,J122217.76-544838.2
AWI0003dzu,J122237.47-643509.1
AWI0002466,J122302.08-574804.4
AWI0003e02,J122305.83-642843.3
AWI0003o2r,J122314.48-645940.6
AWI0003e08,J122345.70-642820.0
AWI0003o3l,J122451.83-654208.6
AWI00056dd,J122522.52-515158.2
AWI0002wgz,J122528.08-640326.9
AWI0005dau,J122532.37-311904.0
AWI0003e0m,J122544.01-641921.7
AWI000246s,J122726.94-583909.8
AWI00001dk,J122825.29-322401.9
AWI0003o4x,J123002.27-644738.6
AWI0003o5s,J123232.12-645941.8
AWI0004oqv,J123300.08-691446.6
AWI0002wjj,J123311.77-635340.1
AWI0001b37,J123322.13-603540.8
AWI00035yf,J123406.29-634051.1
AWI00035yk,J123432.89-633739.3
AWI00056ed,J123656.46-523510.7
AWI0002484,J123657.61-581158.7
AWI0004zua,J123817.23-622621.3
AWI0005db2,J123939.87-264722.1
AWI0004fkr,J123950.34-673253.2
AWI0003e51,J124129.66-643957.3
AWI0001b51,J124134.90-602057.3
AWI0001b56,J124150.18-604738.7
AWI0001ri8,J124156.97-590213.2
AWI0002q5z,J124350.99-630514.7
AWI000064f,J124401.06-304214.8
AWI0003ob8,J124427.97-650656.5
AWI0003obd,J124440.02-650736.2
AWI0001b6j,J124705.67-600421.4
AWI0001rjj,J124841.69-591036.0
AWI0003odh,J124900.87-645709.3
AWI0000yoi,J125033.08-620738.3
AWI0004ot3,J125209.98-690449.8
AWI00043wb,J125226.37-660714.5
AWI0003e8g,J125244.45-643603.9
AWI00010wo,J125330.92-615132.5
AWI0001b92,J125423.95-600829.3
AWI0001rl4,J125524.16-591649.5
AWI0001rl9,J125555.19-592348.8
AWI0005euc,J125620.80-545434.4
AWI0001b9x,J125633.52-602535.8
AWI0001rlp,J125808.01-595123.6
AWI0004otz,J130013.61-694419.1
AWI00063xh,J130247.73-770239.6
AWI000110o,J130436.54-613228.8
AWI0001rmw,J130509.85-591649.6
AWI0001bdq,J130530.09-601214.5
AWI0001bdt,J130537.31-602353.2
AWI0002e0p,J130606.08-571031.8
AWI0004for,J130640.12-670047.5
AWI0004fot,J130654.81-673633.2
AWI0005o6w,J130809.91-711257.3
AWI0001bf4,J130821.91-595120.6
AWI0002e12,J130857.56-572325.3
AWI0003ooa,J131034.07-645442.9
AWI0005cxg,J131316.83-332031.0
AWI0003efw,J131514.68-642452.4
AWI0004fpl,J131543.21-672044.3
AWI0005o7o,J131750.05-701144.6
AWI0005apf,J131939.13-425309.6
AWI000116v,J132236.61-612942.6
AWI0004444,J132252.07-655141.0
AWI0004owf,J132512.94-693521.2
AWI0005ezi,J133056.68-544621.4
AWI00056jt,J133132.47-505357.7
AWI0003ovb,J133143.13-650504.8
AWI00011ai,J133254.56-610354.6
AWI0004frs,J133352.38-672750.7
AWI0001bwj,J133615.38-600634.9
AWI000446x,J133615.93-660645.3
AWI0005f0s,J133638.11-523304.3
AWI0001bzd,J134123.37-595323.2
AWI00024kl,J134256.59-580210.1
AWI0002x8g,J134317.40-633953.5
AWI00024kp,J134318.70-574333.8
AWI00006rd,J134356.21-302040.2
AWI0001c1b,J134626.51-592154.0
AWI0003enp,J134908.63-634915.6
AWI0001c2z,J134931.84-592309.5
AWI0001s3k,J135359.52-584615.2
AWI0005aru,J135554.84-413132.3
AWI0001s45,J135638.64-584118.7
AWI00044ba,J135930.75-653538.1
AWI0005doy,J135948.76-121938.0
AWI0001c7i,J140202.73-590443.7
AWI00044bx,J140202.74-651214.4
AWI0005obh,J140215.98-702943.6
AWI0001c8d,J140415.46-583703.1
AWI0004p20,J140600.07-684412.2
AWI00056p1,J140602.18-492725.4
AWI0004p21,J140606.47-683138.3
AWI0003p6o,J140626.79-642320.2
AWI0005obu,J140709.06-702951.9
AWI0001ca7,J140903.84-585219.5
AWI0001cad,J140918.65-582351.2
AWI0001s7k,J140922.62-572640.3
AWI0001caf,J140927.46-585130.7
AWI0001cag,J140928.92-582822.9
AWI00044dp,J141115.57-650316.0
AWI0001s86,J141127.67-575206.2
AWI00011lu,J141426.36-594416.2
AWI0003p9v,J141426.80-635007.9
AWI0004fvw,J141527.78-662500.1
AWI0003pac,J141537.07-641932.3
AWI00024r6,J141803.73-561659.3
AWI0001sab,J141908.19-573600.7
AWI0001saj,J141934.77-565135.7
AWI00044f6,J141938.54-644713.5
AWI0001cej,J142005.20-580746.1
AWI00024rs,J142200.59-555513.5
AWI0001cfo,J142303.89-575252.1
AWI0004p4l,J142427.36-664130.6
AWI0005au6,J142845.07-415227.2
AWI0005cae,J143212.91-371804.5
AWI0001cj2,J143220.55-572611.7
AWI0006434,J143337.33-740530.9
AWI0005fbu,J143534.83-502247.2
AWI0003ez4,J143715.40-615413.4
AWI0005fc5,J143716.77-510840.5
AWI0001cl5,J143734.98-574842.2
AWI0003eze,J143815.16-621717.1
AWI0005xc6,J144036.03-765914.0
AWI0001sin,J144729.36-561042.5
AWI0005fdy,J144730.76-483944.6
AWI0006443,J145144.93-723603.6
AWI00044mv,J145256.37-633132.7
AWI00056xc,J145453.97-431401.5
AWI0005oh2,J145553.70-673001.3
AWI00056xk,J145629.66-430250.7
AWI000644k,J145710.52-711402.1
AWI00011ya,J145729.63-572709.6
AWI0005xcf,J145802.50-785012.5
AWI0005xci,J150108.07-784556.6
AWI00011zu,J150140.79-572305.9
AWI0001cvf,J150146.89-555605.5
AWI0002er6,J150246.18-520750.5
AWI0001cvs,J150316.80-561554.0
AWI0002eru,J150522.52-510107.1
AWI0003pv1,J150601.52-611444.0
AWI0001cx5,J150622.54-553717.6
AWI00044s0,J150728.69-620933.3
AWI0003f76,J150755.07-600557.4
AWI0001cy6,J150759.39-545955.6
AWI000121w,J150831.96-563046.3
AWI00044sa,J150833.17-623548.6
AWI0004g4g,J150949.33-631355.3
AWI000122r,J151044.73-563820.4
AWI0001czw,J151105.71-553957.8
AWI0003pxg,J151131.09-610809.7
AWI0001d01,J151131.36-543440.6
AWI0001d18,J151439.83-543129.7
AWI0001d1g,J151456.27-543742.2
AWI0001d28,J151617.62-543150.2
AWI0005cbr,J151623.53-285313.7
AWI0001d37,J151808.06-543908.1
AWI0004pdw,J151818.37-633302.1
AWI0001sr3,J151950.96-533402.9
AWI000126q,J152039.01-555405.5
AWI0005ay4,J152108.82-333131.8
AWI00044wf,J152122.36-613433.8
AWI0003q1o,J152204.89-595905.2
AWI00037bl,J152204.98-581516.8
AWI0002ewa,J152207.56-505040.0
AWI0002y11,J152218.82-584726.3
AWI0001ssf,J152321.33-525548.1
AWI00044x6,J152336.35-614311.5
AWI0001ssp,J152447.22-521548.6
AWI0001d7d,J152614.23-532124.5
AWI0002exi,J152617.55-502058.3
AWI0004g80,J152705.43-613025.3
AWI0004g89,J152812.87-615256.7
AWI0001stp,J152825.42-520329.5
AWI0001su4,J152924.55-515609.3
AWI000573m,J153104.57-415514.7
AWI0001db2,J153247.75-530818.9
AWI0003q7e,J153250.57-594056.7
AWI00002h7,J153622.23-112648.7
AWI0004ga1,J153659.85-610017.1
AWI0001sww,J153706.43-504257.6
AWI0004gab,J153805.17-613956.2
AWI000256m,J153812.14-503134.8
AWI0001de4,J153841.05-515407.2
AWI0005omq,J154132.29-672322.3
AWI0001dg5,J154204.01-520024.5
AWI000453e,J154208.69-585623.2
AWI0004gbg,J154239.79-602348.2
AWI000575i,J154239.99-411039.9
AWI000257y,J154328.00-491230.2
AWI0005fs6,J154557.33-423825.4
AWI0001dim,J154611.88-510925.9
AWI0005fs9,J154618.12-441807.2
AWI0001t20,J154837.26-502254.7
AWI0001t23,J154851.40-493106.5
AWI0005d0l,J154904.57-200655.3
AWI0001t2d,J154929.88-491147.7
AWI000577m,J154952.81-393633.0
AWI0006485,J155110.18-722615.6
AWI0005d0q,J155139.45-160557.1
AWI0003qhm,J155306.08-570439.8
AWI00025ay,J155323.89-473437.1
AWI0002f8h,J155602.53-451328.7
AWI0002f8j,J155608.06-463756.2
AWI0001dpj,J155737.63-502738.2
