0.166,0.032015621,0.186,0.089738509,1.908,0.47151352
0.165,0.033615473,0.096,0.086145226,0.146,0.101788997
0.171,0.023706539,0.030,0.082377181,0.088,0.09679876
0.174,0.016552945,0.052,0.198567369,0.139,0.200897984
0.265,0.039924930,0.162,0.164778639,0.319,0.166721324
0.164,0.023021729,-0.005,0.140602276,0.055,0.144069428
0.231,0.037121422,0.531,0.034176015,0.082,0.085234969
0.224,0.022847319,0.074,0.147763324,0.119,0.152610616
0.301,0.060083276,0.1,0.272413289,0.197,0.273056771
0.227,0.015556349,0.092,0.304369841,0.206,0.304795013
0.232,0.046324939,0.154,0.148758193,0.273,0.152800524
0.211,0.023021729,0.117,0.223503915,0.216,0.224750973
0.234,0.022135944,0.167,0.103097042,0.296,0.109201648
0.196,0.017492856,0.149,0.07236712,0.306,0.091678787
0.270,0.033015148,0.177,0.135830777,0.305,0.139717572
0.265,0.043011626,0.073,0.164684547,0.169,0.168344884
0.243,0.013928388,0.08,0.226565664,0.182,0.228116198
0.294,0.033615473,0.128,0.193507106,0.262,0.195020512
0.261,0.038910153,0.179,0.124169239,0.325,0.128444541
0.204,0.019849433,0.218,0.031890437,0.059,0.220311144
0.235,0.051865210,0.251,0.081584312,0.342,0.092784697
0.236,0.017720045,0.17,0.076687678,0.113,0.091263355
0.308,0.047518417,0.116,0.270362719,0.257,0.271248963
0.277,0.028319605,0.21,0.219513098,0.354,0.221472346
0.236,0.017492856,0.188,0.149856598,0.315,0.153287312
0.250,0.047010637,0.237,0.049648766,0.468,0.081024688
0.293,0.051000000,0.334,0.029206164,0.303,0.173530977
0.274,0.040718546,0.247,0.116107709,0.375,0.123130013
0.284,0.028319605,0.106,0.130862523,0.291,0.133645052
0.251,0.018384776,0.203,0.159803004,0.333,0.161993827
0.226,0.028178006,0.252,0.031622777,0.332,0.123761868
0.293,0.070213959,0.163,0.066940272,0.365,0.087783825
0.244,0.028178006,0.164,0.206545395,0.309,0.207761883
0.265,0.030364453,0.225,0.069570109,0.371,0.079322128
0.265,0.027459060,0.242,0.109895405,0.383,0.113322549
0.304,0.044384682,0.227,0.102107786,0.396,0.109004587
0.229,0.047010637,0.277,0.111018017,0.441,0.11670904
0.246,0.027459060,0.283,0.031144823,0.594,0.147800541
0.220,0.018601075,0.118,0.153639188,0.207,0.15651837
0.298,0.041593269,0.283,0.176638048,0.417,0.179067027
0.299,0.031016125,0.258,0.231486501,0.401,0.232572569
0.218,0.032649655,0.193,0.268419448,0.337,0.26898513
0.257,0.017029386,0.221,0.136824705,0.388,0.140185591
0.205,0.060876925,0.258,0.046486557,0.4,0.058137767
0.203,0.046238512,0.248,0.136718689,0.36,0.13885244
0.305,0.041976184,0.263,0.116965807,0.393,0.121457812
0.503,0.031400637,0.283,0.099297533,0.398,0.105475116
0.559,0.017492856,0.24,0.037121422,0.424,0.108157293
0.506,0.059413803,0.314,0.029832868,0.475,0.10944405
0.523,0.023021729,0.328,0.028425341,0.451,0.202200396
0.576,0.036138622,0.275,0.163688729,0.448,0.167146642
0.601,0.041109610,0.271,0.070830784,0.464,0.088865066
0.576,0.029832868,0.311,0.034176015,0.07,0.056859476
0.612,0.049497475,0.296,0.104235311,0.395,0.114494541
0.560,0.026870058,0.252,0.17149344,0.412,0.174155103
0.525,0.029000000,0.419,0.176377436,2.793,0.490493629
0.559,0.020248457,0.25,0.082377181,0.433,0.092660671
0.587,0.060415230,0.358,0.030479501,0.777,0.131034347
0.529,0.080411442,0.282,0.066940272,0.374,0.101533246
0.598,0.013928388,-0.683,0.455281232,-0.799,0.455860724
0.587,0.035468296,0.245,0.078854296,0.338,0.095210294
0.537,0.039824616,0.174,0.307262103,0.397,0.304791732
0.527,0.055443665,0.293,0.044271887,0.648,0.058694122
0.592,0.044294469,0.235,0.07787811,0.412,0.084528102
0.296,0.021400935,0.217,0.040249224,0.466,0.102528045
0.304,0.043931765,0.389,0.030479501,0.551,0.124149104
0.333,0.033286634,0.333,0.030479501,0.387,0.197344876
0.310,0.036796739,0.275,0.038910153,0.36,0.091
0.421,0.028425341,0.462,0.028425341,0.421,0.181339461
0.272,0.018601075,0.325,0.02884441,0.532,0.076843998
0.369,0.027802878,0.404,0.038209946,0.572,0.320057807
0.388,0.072567210,0.332,0.028017851,0.432,0.087091905
0.252,0.031906112,0.266,0.030232433,0.477,0.097267672
0.302,0.026400758,0.35,0.030479501,0.62,0.14878844
0.333,0.025238859,0.392,0.031827661,0.422,0.240104144
0.337,0.029000000,0.462,0.031827661,0.971,0.272888256
0.383,0.032649655,0.642,0.049193496,1.49,0.417579932
0.387,0.032015621,0.458,0.03471311,0.634,0.259023165
0.385,0.030413813,0.492,0.032526912,0.798,0.213243992
0.498,0.031890437,0.746,0.065734314,1.769,0.358810535
0.461,0.032649655,0.494,0.031144823,0.14,0.471561237

	