Name, RA, DEC
AWI00000lj,16:27:54.20,+06:14:41.3
AWI00000om,17:31:29.67,+60:11:56.1
AWI00000to,17:38:32.90,+42:51:12.9
AWI000011b,16:26:38.61,+14:11:06.3
AWI00001l8,17:32:54.69,+40:43:12.3
AWI000028h,16:55:56.61,+24:15:54.0
AWI00002yt,17:20:07.53,+35:41:03.6
AWI000034n,16:40:21.30,+07:50:04.8
AWI000047d,16:48:37.40,+35:12:09.3
AWI00004c1,16:12:41.51,+05:41:40.8
AWI00004o8,16:52:04.85,+14:58:27.2
AWI000054k,17:23:38.13,+45:59:57.3
AWI00005ko,16:59:20.60,+13:12:19.3
AWI0000gjb,22:42:06.62,-03:28:24.4
AWI0000hog,22:44:14.01,-09:01:23.9
AWI0000jvv,00:35:07.14,+07:06:25.0
AWI0000kk6,22:06:01.14,-02:03:43.2
AWI0000ns8,21:57:39.35,-08:33:51.4
AWI0000nxi,01:41:13.00,+16:30:51.7
AWI0000phh,02:56:14.05,+04:02:54.2
AWI0000phs,21:52:21.25,-03:10:28.9
AWI0000qxd,15:25:27.16,+28:49:14.6
AWI0000s7e,10:36:39.10,+44:14:25.8
AWI0000t35,15:34:56.23,+33:51:45.2
AWI0000tjx,15:47:09.73,+30:33:56.0
AWI0000tpu,15:37:16.27,+33:18:34.4
AWI0000tsh,15:50:09.26,+40:38:23.5
AWI0000tz1,15:40:30.20,+37:01:01.1
AWI0000uj2,15:30:46.05,+34:27:56.4
AWI0000uji,15:11:47.67,+10:12:59.8
AWI0000us7,14:24:09.74,+58:18:26.3
AWI0000v1z,15:29:54.11,+23:49:01.6
AWI0000vag,14:58:20.26,+15:02:29.3
AWI0000w9x,14:43:13.04,+01:49:28.7
AWI0000wqx,13:22:17.71,+62:33:37.9
AWI0000xbv,02:59:26.83,+59:35:31.6
AWI0000xcq,03:34:21.19,+56:43:43.6
AWI0000y1k,11:17:14.49,-59:46:10.8
AWI0000zqw,03:28:47.84,+57:55:56.1
AWI00017os,19:09:01.24,+11:06:41.3
AWI00019fp,21:29:52.96,+52:56:01.9
AWI00019pi,23:51:35.40,+63:13:23.1
AWI0001a1v,06:41:51.08,+10:01:44.6
AWI0001ps3,20:52:07.92,+48:49:56.9
AWI0001q3p,21:45:37.00,+57:02:01.1
AWI0002001,18:27:17.07,-04:18:38.0
AWI00021py,19:23:43.53,+23:08:56.7
AWI00022vs,21:01:44.07,+52:17:17.6
AWI00022y0,21:11:39.56,+53:44:46.4
AWI0002360,22:06:14.20,+60:02:04.6
AWI00023d1,22:48:36.29,+62:48:08.6
AWI00025ny,16:24:18.65,-43:15:16.5
AWI0002ao1,18:26:14.45,-01:32:50.8
AWI0002apf,18:27:50.65,-02:24:07.4
AWI0002b3p,18:47:48.57,+08:01:47.3
AWI0002b6k,18:52:11.39,+10:24:22.6
AWI0002b9u,18:57:05.90,+13:23:53.4
AWI0002coc,21:35:19.16,+57:36:38.1
AWI0002cu6,22:29:06.46,+63:10:45.9
AWI0002d1k,23:57:34.08,+66:25:53.7
AWI0002d6a,03:35:49.39,+64:13:24.7
AWI0002dmo,11:35:05.30,-55:48:40.3
AWI0002dny,11:44:01.39,-55:23:27.0
AWI0002fbf,16:03:32.89,-45:40:59.8
AWI0002lxd,18:20:16.88,-03:12:07.4
AWI0002lxl,18:20:32.53,-02:20:49.6
AWI0002m6v,18:29:55.33,+00:49:39.0
AWI0002m9o,18:33:11.41,+02:54:39.0
AWI0002mhd,18:43:05.97,+07:16:26.4
AWI0002mxe,19:06:38.88,+20:33:26.9
AWI0002nht,19:58:17.60,+39:22:45.4
AWI0002o5q,20:41:09.10,+52:18:01.3
AWI0002o7p,20:49:09.99,+54:34:31.2
AWI0002o9g,21:08:05.95,+57:02:09.1
AWI0002oe7,21:46:22.33,+62:31:51.8
AWI0002ofm,22:08:48.11,+63:29:41.7
AWI0002opj,22:49:52.84,+65:49:25.9
AWI0002ozm,04:15:17.47,+50:51:24.0
AWI0002vbd,02:02:06.67,+60:17:41.4
AWI0003cp6,23:56:52.35,+61:13:38.1
AWI0003lz9,05:43:30.38,+25:17:24.4
AWI0003lzu,06:03:25.99,+17:24:44.3
AWI000425z,02:47:55.37,+55:36:48.4
AWI000437j,11:02:45.01,-63:29:40.4
AWI00043e8,11:32:52.86,-65:20:33.1
AWI0004ne5,01:35:25.89,+56:02:37.3
AWI0004nfu,03:28:53.67,+49:04:12.8
AWI0004y3p,20:31:23.98,+28:36:25.0
AWI00055by,20:44:43.79,+42:56:54.9
AWI00055sx,01:06:52.55,+74:37:54.5
AWI00055sz,01:16:36.23,+74:01:36.6
AWI00055vo,03:17:38.10,+73:18:10.2
AWI00055vx,04:06:49.32,+70:27:38.0
AWI00055xe,05:35:23.12,+59:45:48.1
AWI00055xg,05:37:07.15,+60:36:36.4
AWI00055xr,05:47:33.26,+52:11:44.5
AWI00056ck,12:14:56.32,-47:56:54.6
AWI00056i5,13:20:26.77,-49:13:25.4
AWI00059vy,19:18:45.28,+37:14:49.2
AWI0005a9r,21:53:05.45,+68:29:55.0
AWI0005aap,22:15:13.24,+71:11:42.2
AWI0005abb,22:26:53.92,+73:34:29.0
AWI0005abf,22:27:53.27,+70:48:06.0
AWI0005ae4,23:54:49.26,+74:24:36.2
AWI0005aeg,01:38:33.77,+78:08:34.3
AWI0005ag4,06:26:12.83,+47:32:32.1
AWI0005av7,14:39:44.28,-40:22:06.3
AWI0005b4j,16:18:08.54,-22:42:18.7
AWI0005b52,16:20:39.60,-26:34:28.5
AWI0005b5k,16:22:24.95,-23:29:55.1
AWI0005b80,16:29:32.66,-25:43:29.3
AWI0005b88,16:30:33.90,-24:28:06.5
AWI0005bew,17:07:37.21,-06:26:07.2
AWI0005bow,17:59:11.27,+13:54:17.8
AWI0005bps,18:05:33.55,+18:26:43.9
AWI0005brt,18:20:04.41,+29:26:53.3
AWI0005bud,18:41:41.31,+31:37:03.4
AWI0005bwq,19:24:37.52,+56:34:54.9
AWI0005byy,20:22:22.87,+73:09:03.7
AWI0005c01,20:51:43.50,+73:04:49.3
AWI0005c0z,21:19:32.99,+75:57:27.0
AWI0005cye,14:18:27.73,-29:18:33.7
AWI0005cyr,14:44:58.63,-28:02:51.9
AWI0005d5p,18:02:30.72,+58:37:38.4
AWI0005d7g,20:57:22.53,+87:01:57.8
AWI0005d88,08:31:00.44,+18:58:06.0
AWI0005da8,11:22:56.98,-20:37:31.7
AWI0005e72,05:42:59.80,+44:51:05.2
AWI0005f32,13:49:09.18,-54:13:42.3
AWI0005f42,13:53:31.70,-52:30:04.9
AWI0005f4c,13:55:18.84,-53:31:42.8
AWI0005f5v,14:03:53.79,-53:46:28.3
AWI0005gnp,16:45:40.79,-31:02:26.6
AWI0005igi,17:24:52.23,-18:51:33.5
AWI0005mry,00:34:12.66,+54:03:59.0
AWI0005n0p,05:27:46.74,+17:44:07.4
AWI0005o2w,12:16:25.70,-71:23:40.5
AWI0005paa,17:13:07.83,-53:24:28.8
AWI0005vyx,21:29:59.78,+41:30:37.3
AWI0005w29,22:24:12.79,+48:49:18.7
AWI0005w41,23:08:17.21,+51:11:46.3
AWI0005w6c,01:26:50.26,+45:40:38.8
AWI0005w6v,02:13:27.01,+42:19:23.3
AWI0005w77,02:37:20.84,+39:53:45.8
AWI0005w7o,03:24:29.84,+34:17:09.9
AWI0005w9s,03:59:58.81,+31:29:01.0
AWI0005wbq,04:36:30.82,+18:42:15.2
AWI0005wcl,04:55:19.57,+16:37:12.9
AWI0005wcz,05:06:10.47,+06:29:29.2
AWI0005wd8,05:11:43.75,+12:20:12.5
AWI0005wdi,05:16:04.02,+06:18:52.6
AWI0005we7,05:22:52.94,+00:55:57.8
AWI0005web,05:23:31.01,-01:04:23.6
AWI0005wee,05:24:08.04,+02:27:46.9
AWI0005wfn,05:28:59.70,+03:21:48.6
AWI0005wku,05:36:28.55,+00:04:45.6
AWI0005wmu,05:38:05.25,-01:15:21.6
AWI0005wnz,05:38:39.81,-02:56:46.2
AWI0005wsk,05:42:27.76,-10:01:51.2
AWI0005x9h,11:43:36.83,-80:29:00.5
AWI0005xvl,19:02:06.79,-36:21:42.1
AWI0005y1p,19:30:02.16,-15:58:32.2
AWI0005y77,19:58:49.70,-04:37:10.1
AWI0005yfu,22:34:45.16,+37:50:06.0
AWI0005yiv,00:59:26.26,+40:09:18.2
AWI0005yiz,01:07:22.60,+38:01:43.9
AWI0005yjn,02:23:17.32,+38:15:09.7
AWI0005yjp,02:25:15.75,+37:07:07.9
AWI0005yjq,02:30:47.36,+36:07:01.7
AWI0005yk3,03:06:51.95,+30:31:36.8
AWI0005ykd,03:24:48.99,+28:39:08.6
AWI0005ylv,03:39:00.56,+29:41:45.6
AWI0005ylw,03:39:06.73,+24:42:09.8
AWI0005ylz,03:44:00.28,+24:33:24.6
AWI0005ym7,03:49:21.76,+24:22:51.0
AWI0005ym9,03:51:57.43,+25:59:55.4
AWI0005ymc,04:00:40.65,+20:24:47.8
AWI0005ymi,04:12:49.03,+19:32:19.2
AWI0005yn2,04:47:17.93,+05:47:17.4
AWI0005yn4,04:50:13.22,+03:41:00.3
AWI0005yo0,05:12:30.36,-03:52:54.6
AWI0005yo4,05:13:28.63,-04:39:10.6
AWI0005yor,05:20:07.77,-05:50:46.0
AWI0005ypc,05:23:34.17,-11:58:40.6
AWI0005ypj,05:24:37.25,-08:42:01.9
AWI0005z7b,19:35:05.37,-31:36:33.6
AWI0005zfw,02:44:30.00,+28:00:53.8
AWI0005zgy,04:52:45.95,-06:21:29.5
AWI0005zv8,21:26:36.95,+07:53:07.6
AWI0005zx4,01:49:28.21,+24:40:48.7
AWI0005zy4,03:25:04.59,+10:58:35.0
AWI0005zyg,03:38:55.10,+02:45:48.2
AWI0005zyr,03:50:07.87,+09:55:28.1
AWI0005zz5,04:02:38.47,-00:48:03.7
AWI000600b,04:35:21.12,-08:17:30.0
AWI000600n,04:38:52.53,-08:13:29.6
AWI0006207,20:37:11.08,-65:01:59.9
AWI000621a,20:52:41.67,-53:16:24.8
AWI000621k,20:59:11.24,-59:58:22.3
AWI0006228,21:14:12.49,-01:58:43.1
AWI000622o,21:25:47.34,-02:22:51.3
AWI00062a8,01:37:56.15,+21:15:39.9
AWI00062aj,02:02:21.16,+19:23:23.6
AWI00062bl,03:33:37.91,-07:24:53.8
AWI00062df,04:30:26.69,-43:12:45.6
AWI00062fh,21:52:21.25,-03:10:28.9
AWI00062gs,23:05:33.05,+14:57:32.5
AWI00062h1,23:57:46.21,+11:28:27.6
AWI00062ke,22:42:06.62,-03:28:24.4
AWI00062l3,23:55:37.71,+08:13:23.7
AWI00062lo,00:31:40.76,-01:47:37.3
AWI00062m4,00:48:26.42,+02:07:53.0
AWI00006nb,16:18:08.08,+10:45:51.4
AWI00018m1,19:40:22.79,+25:16:48.4
AWI00019i2,22:10:55.01,+57:56:29.4
AWI0001a1b,06:39:51.54,+12:04:07.6
AWI0001q7h,22:11:58.73,+59:40:44.9
AWI0001qsl,05:38:15.82,+37:44:40.5
AWI00021on,19:21:36.46,+22:07:44.7
AWI0003cs7,02:15:32.17,+59:14:24.4
AWI0005bk2,17:29:12.43,+00:56:05.7
AWI0005brq,18:19:49.03,+31:08:41.7
AWI0005lx9,19:30:40.05,+35:06:09.9
AWI0005w1h,22:05:03.97,+44:45:43.7
AWI0005w52,00:03:08.37,+42:44:52.4
